Rank,Continent,Name,Population,
1,Asia,Southern Asia,1749046000,
2,Asia,Eastern Asia,1620807000,
3,Asia,South-eastern Asia,618793000,
4,Latin America and the Caribbean,South America,406740000,
5,Africa,Eastern Africa,373202000,
6,Northern America,Northern America,355361000,
7,Africa,Western Africa,331255000,
8,Europe,Eastern Europe,294162000,
9,Asia,Western Asia,245707000,
10,Africa,Northern Africa,210002000,
11,Europe,Western Europe,192060000,
12,Latin America and the Caribbean,Central America,167387000,
13,Europe,Southern Europe,155827000,
14,Africa,Middle Africa,135750000,
15,Europe,Northern Europe,100404000,
16,Asia,Central Asia,64370000,
17,Africa,Southern Africa,60425000,
18,Latin America and the Caribbean,Caribbean,42517000,
19,Oceania,Oceania,38304000,
20,Antarctica,Antarctica,1106,
